search_type,filename,num_veh,dist,d0,d1,d2,d3,d4,Number of vehicles,Max capacity,Customers,total demand,Minimum vehicles to satisfy capacity
heuristic,r210,5,2811.42015965,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2043.73877149,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2378.2708742,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2727.4702963000004,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,1000,101,1458,1.4580000000000002
heuristic,r211,5,2940.65097212,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2207.23463616,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2231.33424974,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2061.1493004999998,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,2613.12030169,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,1000,101,1458,1.4580000000000002
heuristic,r211,4,1439.85537681,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,1000,101,1458,1.4580000000000002
heuristic,r211,5,2927.91486926,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,1000,101,1458,1.4580000000000002
heuristic,rc101,18,2302.94734213,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1724,8.62
heuristic,rc101,19,2346.63354251,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1724,8.62
heuristic,rc101,20,2442.25800082,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1724,8.62
heuristic,rc101,22,3027.23798653,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1724,8.62
heuristic,rc101,19,2377.55227012,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1724,8.62
heuristic,rc101,20,2346.44882718,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1724,8.62
heuristic,rc101,18,2209.66927948,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1724,8.62
heuristic,rc101,19,2467.31893944,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1724,8.62
heuristic,rc101,19,2374.2403581,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1724,8.62
heuristic,rc101,21,2826.22400869,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1724,8.62
heuristic,rc102,16,2193.23337758,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1724,8.62
heuristic,rc102,16,2300.09457498,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1724,8.62
heuristic,rc102,17,2428.84371516,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1724,8.62
heuristic,rc102,20,3091.23087196,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1724,8.62
heuristic,rc102,16,2336.60554546,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1724,8.62
heuristic,rc102,15,2079.99615147,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1724,8.62
heuristic,rc102,16,2072.75895693,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1724,8.62
heuristic,rc102,16,2317.90864161,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1724,8.62
heuristic,rc102,18,2257.96682935,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1724,8.62
heuristic,rc102,19,2860.19360472,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1724,8.62
heuristic,rc103,16,2144.75954656,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1724,8.62
heuristic,rc103,16,2466.61392836,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1724,8.62
heuristic,rc103,16,2219.61027569,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1724,8.62
heuristic,rc103,18,2898.53609088,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,200,101,1724,8.62
heuristic,rc103,15,2024.50847291,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,200,101,1724,8.62
heuristic,rc103,14,2123.14816646,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,200,101,1724,8.62
heuristic,rc103,14,1742.88110445,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,200,101,1724,8.62
heuristic,rc103,16,2473.0000640999997,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,200,101,1724,8.62
heuristic,rc103,14,1831.47097716,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,200,101,1724,8.62
heuristic,rc103,19,3091.19677847,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,200,101,1724,8.62
heuristic,rc104,14,1879.41970497,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,200,101,1724,8.62
heuristic,rc104,14,2084.16212224,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,200,101,1724,8.62
heuristic,rc104,16,2390.16346996,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,200,101,1724,8.62
